id,species,order,digestive_habitat_type,diet,surrounding_habitat,category
1774.5.Inte.Puer,homo sapiens,primates,fecal,omnivore,terrestrial,1
1696.CT0005.0A,rhinopithecus brelichi,primates,fecal,omnivore,terrestrial,1
1774.67Fecal24.10.09,homo sapiens,primates,fecal,omnivore,terrestrial,1
1696.CT0005.0B,rhinopithecus brelichi,primates,fecal,omnivore,terrestrial,1
1696.CT0003.2,rhinopithecus brelichi,primates,fecal,omnivore,terrestrial,1
1696.CT0010.3B,rhinopithecus brelichi,primates,fecal,omnivore,terrestrial,1
1774.21Fecal22.10.09,homo sapiens,primates,fecal,omnivore,terrestrial,1
1696.CT0015.2,rhinopithecus brelichi,primates,fecal,omnivore,terrestrial,1
1774.60.Inte.Puer,homo sapiens,primates,fecal,omnivore,terrestrial,1
1774.220.Inte.Puer,homo sapiens,primates,fecal,omnivore,terrestrial,1
1696.CT0012.3,rhinopithecus brelichi,primates,fecal,omnivore,terrestrial,1
1774.1Fecal22.10.09,homo sapiens,primates,fecal,omnivore,terrestrial,1
1696.CT0012.4,rhinopithecus brelichi,primates,fecal,omnivore,terrestrial,1
722.M11Fcsw.1.s.1.1.sequence,homo sapiens,primates,fecal,omnivore,terrestrial,1
550.L1S223.s.1.sequence,homo sapiens,primates,fecal,omnivore,terrestrial,1
ERR2116964,eulemur rubriventer,primates,fecal,omnivore,terrestrial,1
ERR2116992,eulemur rubriventer,primates,fecal,omnivore,terrestrial,1
ERR2117000,eulemur rubriventer,primates,fecal,omnivore,terrestrial,1
sra_data-15,nepenthes rafflesiana,caryophyllales,NA,plant_other,terrestrial,1
sra_data-16,nepenthes rafflesiana,caryophyllales,NA,plant_other,terrestrial,1
sra_data-23,nepenthes rafflesiana,caryophyllales,NA,plant_other,terrestrial,1
sra_data-40,nepenthes rafflesiana,caryophyllales,NA,plant_other,terrestrial,1
sra_data-42,nepenthes rafflesiana,caryophyllales,NA,plant_other,terrestrial,1
MVB2015-2018,dendropsophus minutus,anura,intestine,carnivore,freshwater,2
MVB2015-2022,dendropsophus minutus,anura,intestine,carnivore,freshwater,2
MVB2015-2044,physalaemus cuvieri,anura,intestine,carnivore,freshwater,2
MVB2015-2088,dendropsophus sanborni,anura,intestine,carnivore,freshwater,2
MVB2015-2098,dendropsophus sanborni,anura,intestine,carnivore,freshwater,2
MVB2015-2218,cycloramphus boraceiensis,anura,intestine,carnivore,freshwater,2
