Table 2. Small intestine (SI) length and nominal surface area (NSA) of omnivorous birds and eutherian mammals [common names,,,,,,,
were extracted from the Integrated Taxonomic Information System (ITIS; www.itis.gov) and ref. 1],,,,,,,
"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
Silky short-tailed bat,Carollia brevicauda,Chiroptera,Phyllostomidae,17.2,,7.5,58
Short-tailed bat,Carollia perspicillata,Chiroptera,Phyllostomidae,16.1,20.85,,"56, 57"
Wrinkle-faced bat,Centurio senex,Chiroptera,Phyllostomidae,26,,15.01,58
,,,,,,,
Caviedes-Vidal et al.,Table 2,,,8,,,
"Species
Common name",Scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,2cm",Source
Salvin's big-eyed bat,Chiroderma salvini,Chiroptera,Phyllostomidae,25,,11.77,58
Hairy big-eyed bat,Chiroderma villosum,Chiroptera,Phyllostomidae,24.8,37,,55
"Godman's long-tailed
bat","Choeroniscus
godmani",Chiroptera,Phyllostomidae,10.1,,3.89,58
Big-eared woolly bat,Chrotopterus auritus,Chiroptera,Phyllostomidae,96.1,32,,57
Toltec fruit-eating bat,Dermanura tolteca,Chiroptera,Phyllostomidae,15.2,,7.76,58
Vampire bat,Desmodus rotundus,Chiroptera,Phyllostomidae,29,26.95,14.02,"57, 58"
"Hairy-legged vampire
bat",Diphylla ecaudata,Chiroptera,Phyllostomidae,27.8,20.5,,57
"Pallas's long-tongued
bat",Glossophaga soricina,Chiroptera,Phyllostomidae,10.2,11.75,,57
Lesser long-nosed bat,"Leptonycteris
curasoae",Chiroptera,Phyllostomidae,24.8,18,8.48,"57, 58"
"Waterhouse's leaf-
nosed bat",Macrotus waterhousii,Chiroptera,Phyllostomidae,18.9,,7.59,58
Pale spear-nosed bat,Phyllostomus discolor,Chiroptera,Phyllostomidae,41.5,,14.9,58
"Greater spear-nosed
bat",Phyllostomus hastatus,Chiroptera,Phyllostomidae,87.1,38,,57
"White-lined broad-
nosed bat",Platyrrhinus lineatus,Chiroptera,Phyllostomidae,21.9,30.33,,57
"Greater broad-nosed
bat",Platyrrhinus vittatus,Chiroptera,Phyllostomidae,36.6,36.2,,55
"Little yellow
shouldered bat",Sturnira lilium,Chiroptera,Phyllostomidae,"16.8 -
21.9",21.8,9.58,"57, 58"
"Pygmy round-eared
bat",Toniata brasiliensis,Chiroptera,Phyllostomidae,11.8,,5.62,58
Fringe-lipped bat,Trachops cirrhosus,Chiroptera,Phyllostomidae,33.5,,11.29,58
"Little yellow-eared
bat",Vampyressa pusilla,Chiroptera,Phyllostomidae,8.8,17.9,,57
Great stripe-faced bat,"Vampyrodes
caraccioli",Chiroptera,Phyllostomidae,31,,15.64,58
,,,,,,,
Caviedes-Vidal et al.,Table 2,,,9,,,
"Species
Common name",Scientific name,Order,Family,"Body
mass, g","SI length,
cm","SI
NSA,2cm",Source
Straw-colored fruit bat,Eidolon helvum,Chiroptera,Pteropodidae,266.8,170,,55
Lesser dawn bat,Eonycteris spelaea,Chiroptera,Pteropodidae,51.6,35,,57
"Wahlberg's epauletted
fruit bat","Epomophorus
wahlbergi",Chiroptera,Pteropodidae,76,73.3,76.49,59
"Franquet's epauletted
bat",Epomops franqueti,Chiroptera,Pteropodidae,118.3,80,,55
"Hammer-headed fruit
bat","Hypsignathus
monstrosus",Chiroptera,Pteropodidae,324.6,115,,55
Angola fruit bat,"Lisonycteris
angolensis",Chiroptera,Pteropodidae,76.9,72.2,45.05,59
Black flying fox,Pteropus alecto,Chiroptera,Pteropodidae,540,163,,60
Gray-headed flying fox,"Pteropus
poliocephalus",Chiroptera,Pteropodidae,630 - 645,169,215,"57, 60, 61"
Egyptian fruit bat,Rousettus aegyptiacus,Chiroptera,Pteropodidae,"126 -
168.3",103.45,33.3,"57, This
study"
