"Species
Common name",science_name,Order,Family,"Body
mass, g","SI length,
cm","SI NSA,
cm2",Source
"Schreibers's long-
fingered bat","miniopterus
schreibersi",Chiroptera,Vespertilionidae,10.9,15.97,,57
Daubenton's bat,myotis daubentoni,Chiroptera,Vespertilionidae,7.8,17.6,,55
Mouse-eared bat,myotis myotis,Chiroptera,Vespertilionidae,25,17.55,,57
Whiskered bat,myotis mystacinus,Chiroptera,Vespertilionidae,4.85,13,,55
Natterer's bat,myotis nattereri,Chiroptera,Vespertilionidae,7.15,14.8,,55
Noctule bat,nyctalus noctula,Chiroptera,Vespertilionidae,26,17.05,,55
Kuhl's pipistrelle,pipistrellus kuhlii,Chiroptera,Vespertilionidae,6.3,9.3,,55
Common pipistrelle,"pipistrellus
pipistrellus",Chiroptera,Vespertilionidae,6.6,9.6,,57
Brown big-eared bat,plecotus auritus,Chiroptera,Vespertilionidae,11.4,12,,57
"Lesser Asiatic yellow
bat",scotophilus kuhlii,Chiroptera,Vespertilionidae,19.6,20,,55
Parti-colored bat,vespertilio murinus,Chiroptera,Vespertilionidae,33.3,25.5,,55
1,"wilson de, reeder dm (1993) mammal species of the world: a taxonomic and geographic reference (smithsonian institution,",,,,,,
,"washington, dc), 2nd ed.",,,,,,
2,"moorman te, baldassare ga, richard dm (1992) condor 94: 401-417.",,,,,,
3,"degolier tf, mahoney sa, duke ge (1999) condor 101: 622-634.",,,,,,
4,"lavin sr (2007) phd thesis (university of wisconsin, madison).",,,,,,
5,karasov wh (1990) stud avian biol 13: 391-415.,,,,,,
6,"barnes gg, thomas vg (1987) can j zool 65: 1812-1817.",,,,,,
7,"kehoe fp, ankney cd (1985) can j zool 63: 2339-2342.",,,,,,
8,"verzar f, mcdougall ej (1936) absorption from the intestine (longmans and green, london).",,,,,,
9,"obst bs, diamond jm (1989) j exp zool suppl 3: 117-126.",,,,,,
10,"karasov wh, afik d, darken bw (1996) comp biochem physiol 113a: 233-238.",,,,,,
11,leopold as (1953) j wildl manag 2: 197-203.,,,,,,
12,"christaki e, babidis v, florou-paneri p, kufidis d, spais ab (1997) anim feed sci tech 65: 287-292.",,,,,,
13,"starck jm, rahmaan gha (2003) j exp biol 206: 1887-1897.",,,,,,
,,,,,,,
Caviedes-Vidal et al. Table 2,,11,,,,,
14,"pulliainen e, helle e, tunkkari p (1981) orn fenn 58: 21-28.",,,,,,
15,przystalski a (1985) zool polon 32: 14-21.,,,,,,
16,ricklefs re (1996) condor 98: 279-292.,,,,,,
17,davis j (1961) condor 63: 313-321.,,,,,,
18,"martínez del rio c, brugger ke, rios jl, vergara me, witmer m (1995) physiol zool 68: 490-511.",,,,,,
19,karasov wh. levey dj (1990) physiol zool 63: 1248-1270.,,,,,,
20,przystalski a (1984) act biol cracov 26: 89-99.,,,,,,
21,herrera cm (1984) ecology 65: 609-617.,,,,,,
22,przystalski a (1986) zool polon 35: 5-20.,,,,,,
23,"afik d, karasov wh (1995) ecology 76: 2247-2257.",,,,,,
24,"afik d, darken bw, karasov wh (1997) physiol zool 70: 213-221.",,,,,,
25,"levey dj, place ar, rey pj, martínez del rio c (1999) physiol biochem zool 72: 576-587.",,,,,,
26,"schondube je, martínez del rio c (2004) j comp physiol b 174: 263-273.",,,,,,
27,"caviedes-vidal e, afik d, martínez del rio c, karasov wh (2000) comp biochem physiol a-mol integr physiol 125: 11-24.",,,,,,
28,przystalski a (1987) act biol cracov 29: 93-104.,,,,,,
29,"hume id, biebach h (1996) j comp physiol b 166: 388-395.",,,,,,
30,"witmer mc, martínez del rio c (2001) physiol biochem zool 74: 584-593.",,,,,,
31,"downs ct, van dyk rj, iji p (2002) comp biochem physiol a 133: 125-134.",,,,,,
32,"chivers dj, hladik cm (1980) j morph 166: 337-386.",,,,,,
33,snipes rl (1997) adv anat embry cell biol 138: 1-88.,,,,,,
34,pappenheimer jr (1998) comp biochem physiol 121a: 45-58.,,,,,,
35,"anderson jh, taylor ab (1973) j morph 141: 281-291.",,,,,,
36,"snipes rl, kriete a (1991) zeitschrift für säugetierkunde 56: 225-244.",,,,,,
37,"fahey gc, merchen nr jr, corbin ak, hamilton ak, serbe ka, hirakawa da (1990) j anim sci 68: 4229-4235.",,,,,,
38,fooden j (1964) am j phys anthropol 22: 227-231.,,,,,,
39,"bruorton mr, perrin mr (1991) zeitschrift für säugetierkunde 56: 65-71.",,,,,,
40,"young owl m (1982) allometry in primate digestive systems (university of california, los angeles).",,,,,,
41,"marsh mn, swift ja (1968) gut 9: 727-728.",,,,,,
42,"wilson th (1962) intestinal absorption (saunders, philadelphia).",,,,,,
43,barry re jr (1976) j mammal 57: 273-289.,,,,,,
44,"perrin mr, curtis ba (1980) s afr j zool 15: 22-33.",,,,,,
45,"knight mh, knight-eloff ak (1987) j zool 213: 7-22.",,,,,,
46,"karasov wh, solberg dh, diamond jm (1985) am j physiol 249: g271-g283.",,,,,,
47,"sakaguchi e, itoh h, uchida s, horigome t (1987) br j nutr 58: 149-158.",,,,,,
48,"diamond jm, karasov wh (1984) j physiol 349: 419-440.",,,,,,
49,wood ho (1944) j anat 78: 103-105.,,,,,,
,,,,,,,
Caviedes-Vidal et al. Table 2,,12,,,,,
50,"palay sl, karlin lj (1959) j biophys biochem cytol 5: 373-383.",,,,,,
51,"keegan dj, mödinger r (1979) s afr j zool 14: 220-223.",,,,,,
52,"mayhew tm, middleton c (1985) j anat 141: 1-17.",,,,,,
53,"clemens et, stevens ce (1980) j agric sci 94: 735-737.",,,,,,
54,"sakaguchi e, nabata a (1982) comp biochem physiol a 103: 601-604.",,,,,,
55,"jones ke, maclarnon am (2004) am nat 164: e20-e31.",,,,,,
56,klite pd (1965) j bacteriol 90: 375-379.,,,,,,
57,"cruz-neto ap, jones ke (2006) in functional and evolutionary ecology of bats, eds zubaid a, mccracken g, kunz th (oxford",,,,,,
,"university press, oxford), pp 59-78.",,,,,,
58,"schondube je, herrera-m. lg, martínez del rio c (2001) zool-anal compl syst 104: 59-73.",,,,,,
59,"makanya an, maina jn, mayhew tm, tschanz sa, burri ph (1997) j exp biol 200: 2415-2423.",,,,,,
60,"tedman ra, hall ls (1985) aust j zool 33: 625-640.",,,,,,
61,"tedman ra, hall ls (1985) aust mammal 8: 271-278.",,,,,,
62,law bs (1992) funct ecol 6: 257-264.,,,,,,
